AddressLabel,Addr1,Addr2,Addr3,City,CompanyName,CountryCode,DeliverTo,Email,Name,Phone,PostalCode,State,Type,SourceUniqueId,Classification,IntegrationId,ObjectState
Tijuana Flats - 232 - Bloomingdale,*2054 Bloomingdale Ave*,,,Valrico,Tijuana Flats - Store 232,US,,,,(813) 324-2009,33596,FL,2,,0,,Unchanged
Tijuana Flats - 134 - Dale Mabry,10019 N. Dale Mabry,,,Tampa,Tijuana Flats - Store 134,US,,,,(813) 849-6900,33618,FL,2,,0,,Unchanged
Tijuana Flats - 120 - Largo,180 S. Belcher Rd.,,,Largo,Tijuana Flats - Store 120,US,,,,(727) 210-1190,33771,FL,2,,0,,Unchanged
Tijuana Flats - 103 - Lake Mary,3005 W. Lake Mary Blvd. Suite 109,,,Lake Mary,Tijuana Flats - Store 103,US,,,,(407) 328-0907,32746,FL,2,,0,,Unchanged
Tijuana Flats - 114 - Tyrone,2117 66th St. North,,,St. Petersburg,Tijuana Flats - Store 114,US,,,,(727) 209-0191,33710,FL,2,,0,,Unchanged
Tijuana Flats - 5555 - Louisville ,2105 S. Hurstbourne Pkwy,,,Louisville ,Tijuana Flats - Store 5555,US,,,,,40220,KY,2,,0,,Unchanged
Tijuana Flats - 122 - Longwood,2401 W. State Rd. 434 Bay 117,,,Longwood,Tijuana Flats - Store 122,US,,,,(407) 478-5974,32779,FL,2,,0,,Unchanged
Tijuana Flats - 402 - Oviedo,"3635 Aloma Ave, Suite 1021",,,Oviedo,Tijuana Flats - Store 402,US,,,,(407) 478-3468,32765,FL,2,,0,,Unchanged
Tijuana Flats - 502 - Port Charlotte,"1100 El Jobean Rd., Ste 102, ",,,Port Charlotte,Tijuana Flats - Store 502,US,,,,(941) 766-8226  ,33948,FL ,2,,0,,Unchanged
Tijuana Flats - 5101 - Deland,305-1 International Speedway Blvd,,,Deland,Tijuana Flats - Store 5101,US,,,,386-624-7060,32724,FL,2,,0,,Unchanged
Tijuana Flats - 165 - Collier Parkway,"23100 S.R.54, Unit 101",,,Lutz,Tijuana Flats - Store 165,US,,,,(813) 949-1155,33549,FL,2,,0,,Unchanged
Tijuana Flats - 5450 - Pigeon Forge,3060 Teaster Ln,Unit 105,,Pigeon Forge,Tijuana Flats - Store 5450,US,,,,999-999-9999,37863,TN,2,,1,,Unchanged
Tijuana Flats - 153 - College Park,2217 Edgewater Dr.,,,Orlando,Tijuana Flats - Store 153,US,,,,(407) 425-4762,32804,FL,2,,0,,Unchanged
Tijuana Flats - 198 - Largo,"13100 Seminole Blvd, Suite 105",,,Largo,Tijuana Flats - Store 198,US,,,,(727) 437-0919,33778,FL,2,,0,,Unchanged
Tijuana Flats - 260 - Winter Garden,14410 Shoreside Way Suite 100,,,Winter Garden,Tijuana Flats - Store 260,US,,,,407-459-1910,34787,FL,2,,0,,Unchanged
Tijuana Flats - 159 - Bradenton, 2127 Cortez Rd W.,,,Brandenton,Tijuana Flats - Store 159,US,,,,(941) 756-7351,34207,FL,2,,0,,Unchanged
Tijuana Flats - 5601 - Murfreesboro,1306 Westlawn Blvd,,,Murfreesboro,Tijuana Flats - Store 5601,US,,,,999-999-9999,37128,TN,2,,2,,Unchanged
Tijuana Flats - 212 - Casselberry ,991 E. Semoran Blvd.,,,Casselberry ,Tijuana Flats - Store 212,US,,,,(407) 331-3529,32707,FL,2,,0,,Unchanged
Tijuana Flats - 100 - Corporate,2300 Maitland Center Pkwy Ste 306,,,Maitland,Tijuana Flats - 100 - Corporate,US,,,,(407) 506-2222,32751,FL,2,,1,,Unchanged
Tijuana Flats - 167 - Colonial,2914 E Colonial Drive,,,Orlando,Tijuana Flats - Store 167,US,,,,(407) 897-7121,32803,FL,2,,0,,Unchanged
Tijuana Flats - 184 - Fleming Island,1647 CR 220 suite103,,,Fleming Island,Tijuana Flats - Store 184,US,,,,(904) 264-1766,32003,FL,2,,0,,Unchanged
